album_id,title,release_date,album_type
AL000556,Storia Breve - EP,2022-06-10,single
AL000557,Idiot Savant - EP,2023-05-26,album
AL000558,UNDAMENTO MIXTUBE 2020,2017-11-24,album
AL000559,Butterfly Effect 2.0,2018-01-26,album
AL000560,Petrichor,2021-02-12,album
AL000561,Pianeta di Miller,2024-03-01,album
AL000562,Memories,2016-05-07,single
AL000563,FRAGILE,2022-03-18,album
AL000564,Scatola nera,2019-09-19,album
AL000565,Davide,2018-04-20,album
AL000566,Nonostante Tutto ,2016-01-22,album
AL000567,Quello Che Vi Consiglio Vol. 8,2018-12-21,single
AL000568,Quello Che Vi Consiglio Vol. 4,1978-10-07,album
AL000569,Kepler (Gold Edition),2014-05-27,album
AL000570,Quello Che Vi Consiglio Vol. 7,2024-09-21,single
AL000571,Quello Che Vi Consiglio Vol. 3,2023-12-14,album
"AL000572,""QVC9: QUELLO CHE VI CONSIGLIO, VOL. 9"",2020-11-06,album"
"AL000573,""Detto, Fatto. - EP"",2012-11-30,album"
AL000574,Quello Che Vi Consiglio Vol. 1,2016-11-11,album
AL000575,Quello Che Vi Consiglio Vol. 5,2016-11-11,album
"AL000576,""QVC 10 – Quello Che Vi Consiglio, Vol. 10"",2023-12-14,album"
AL000577,Eclissi,2022-05-12,album
AL000578,Quello Che Vi Consiglio Vol. 6,2018-03-30,album
AL000579,Haterproof,2014-05-27,album
AL000580,Xtreme Quality,2024-12-13,album
AL000581,L’unico compromesso,2013-05-28,album
AL000582,Nonostante Tutto Reloaded,2016-11-04,album
AL000583,Quello Che Vi Consiglio Vol. 2,2019-09-19,album
AL000584,Povera Italia! Vol. 3: Rap Game Compilation,2014-02-14,album
AL000585,Senza Collare 2009,2024-11-26,album
AL000586,BIANCO/GOSPEL – Single,2020-07-30,single
AL000587,Affare Romano Vol. 1,2018-03-30,album
AL000588,No Mixtape,2019-09-19,album
AL000589,Solo Un Altro EP,2025-05-16,album
AL000590,Xtreme Time,2014-05-27,album
AL000591,BlackJack,2010-02-21,album
AL000592,Affare Romano Vol. 2,2025-05-16,album
AL000593,ELO OVERTIME,2020-05-21,album
AL000594,Kanaglia,2018-07-06,album
AL000595,GOBLIN,2024-11-08,album
AL000596,Kanaglia Mixtape,2018-07-06,album
AL000597,esse Type Beat (Sanremo Edition),2024-11-01,album
AL000598,BV3,2020-10-02,album
AL000599,BV2,2015-03-06,album
AL000600,Bloody Vinyl Mixtape Vol. 1,2019-05-24,album
AL000601,Going Hard 3,2024-08-23,single
AL000602,Umile (Deluxe),2023-10-20,album
AL000603,Let’s Go (Hard) Mixtape,2024-03-01,album
AL000604,Going Hard 2,2021-09-02,album
AL000605,NOSTALGIA (export),2024-02-23,album
AL000606,Non C’è Futuro - EP,2019-06-07,single
AL000607,Going Hard,2020-10-16,album
AL000608,Non hai mai Mixtape,2024-10-10,album
AL000609,TRVPPIN’ BOYZ,2023-11-03,single
AL000610,Amore vero,2006-01-01,album
AL000611,Si fa presto a dire... Brusco,2003-09-01,album
AL000612,Mappamondo,2021-02-12,single
AL000613,Quattroemezzo,2018-11-09,album
AL000614,Fino all’alba,2011-06-14,album
AL000615,Brusco,2017-04-14,compilation
AL000616,Tutto apposto,2013-05-28,album
AL000617,Monumento EP,2022-03-04,single
AL000618,Epicentro Romano Vol. 3,2006-01-01,album
AL000619,Monster Reloaded,2013-04-09,album
AL000620,Enemy,2018-04-13,album
AL000621,Localz Only,2015-06-01,album
AL000622,La Calda Notte,2005-08-06,album
AL000623,Non Dormire,2007-01-01,album
AL000624,Verano Zombie,2010-01-01,album
AL000625,Guilty,2010-01-01,album
AL000626,B.B.C. Project Single,2011-03-28,single
AL000627,VIRUS (Deluxe),2022-01-14,album
AL000628,The Best Out Mixtape,2023-06-02,album
AL000629,The Best Out Mixtape Vol. 2,2022-05-18,album
AL000630,Ministero dell’Inferno,2008-03-13,compilation
AL000631,Benvenuti In Borgata,2007-01-01,album
AL000632,Eazy Green Mixtape 2nd Level,2005-01-01,album
AL000633,Ho fatto tardi,2020-07-03,album
AL000634,Jack Uccide,2016-03-18,album
AL000635,Sedicinoni,2024-04-19,album
AL000636,V.Ita,2009-10-10,album
AL000637,Game Over Mixtape vol. 1,2016-03-18,album
AL000638,24H EP,2016-06-10,album
AL000639,Smokin’ Room Mixtape vol. 1,2022-01-16,single
AL000640,Grandissimo EP,2014-09-23,compilation
AL000641,6/6 - EP,2024-10-18,single
AL000642,Faccio un casino,2017-05-05,album
AL000643,Niente che non va,2015-09-04,album
AL000644,Lovebars,2023-09-08,album
AL000645,Figlio Di Nessuno,2015-02-10,album
AL000646,È sempre bello,2019-03-29,album
AL000647,Non erano fiori,2013-06-11,album
AL000648,Fenomeno Mixtape,2018-03-30,album
AL000649,Volare,2022-05-18,album
AL000650,1998,2025-01-17,single
AL000651,From the Rooftop,2025-03-28,album
AL000652,Senza mani - EP,2012-09-24,single
AL000653,Spotify Singles,2020-01-09,single
AL000654,From The Rooftop 2,2022-10-14,album
AL000655,Faccio un casino (TJ Unicorno Remix) - Single,2017-12-27,single
AL000656,MANIFESTO,2025-02-12,single
AL000657,Mate y Espíritu,2011-01-01,album
AL000658,The Second Feeling,2008-01-01,album
AL000659,Apogeo,2016-01-12,compilation
AL000660,Demolizione 2,2022-10-11,compilation
"AL000661,""MM, Vol. 2"",2016-11-11,album"
AL000662,Back Home,2018-02-02,album
AL000663,Doppelganger,2015-09-11,album
"AL000664,""MM, Vol. 4"",2021-11-12,album"
"AL000665,""MM, Vol. 3"",2019-02-01,album"
AL000666,Escape From Heart,2004-01-01,album
"AL000667,""MM, Vol. 1"",2014-05-27,album"
AL000668,LONEWOLF,2024-05-30,album
AL000669,R.I.P. Street Album,2014-09-04,album
AL000670,Riscatto Mixtape,1995-01-01,album
AL000671,Prequel EP,2015-09-11,album
AL000672,Mixtape A Scrocco,2014-05-27,album
AL000673,Cicatrici Mixtape,2025-04-10,album
AL000674,Dio c’è,2015-07-08,single
AL000675,Ragazzi madre (1 Year Anniversary),2016-11-11,album
AL000676,1969 - Achille Idol Rebirth,2020-09-25,album
AL000677,Pour l’amour,2018-06-22,album
AL000678,Achille Idol Immortale,2014-12-17,album
AL000679,Comuni Mortali,2025-02-12,single
AL000680,1990 (Deluxe Version),2020-07-24,album
AL000681,1920 - Achille Lauro & The Untouchable Band,2020-12-04,album
AL000682,LAURO - Achille Idol Superstar,2021-04-16,album
AL000683,Barabba (Web Version),2025-04-18,album
AL000684,Young Crazy,2015-04-28,single
AL000685,Harvard,2025-03-14,album
AL000686,Banda Kawasaki - Single ,2024-06-28,single
AL000687,Una Voce per San Marino 2022,2022-03-04,single
AL000688,Genesi,2013-01-01,compilation
AL000689,Top,2013-01-01,album
AL000690,LAURO (Deluxe Version),2021-04-16,album
AL000691,Amore Disperato - Single,2024-09-20,single
AL000692,Io in Terra,2025-04-24,single
AL000693,Dasein Sollen - EP,2016-10-13,album
AL000694,Ossigeno - EP,2018-07-13,single
AL000695,Dove Gli Occhi Non Arrivano,2019-03-22,album
AL000696,TAXI DRIVER (Deluxe),2021-11-30,album
AL000697,Calvairate Mixtape Vol. 1,2016-07-14,single
AL000698,decrescendo.,2025-05-22,album
AL000699,TAXI DRIVER,2021-11-30,album
AL000700,Lo Spirito Che Suona,2018-10-26,album
AL000701,Buona Pace,2010-05-25,album
AL000702,Heavy Metal,2004-01-01,album
AL000703,Nuovo Nuovo,2007-02-26,album
AL000704,Fuoco Sacro,2024-03-15,album
AL000705,Sotto Assedio EP,1999-05-21,album
AL000706,‎Rock ‘N’ Roll,2002-01-01,album
AL000707,Meme K Ultra,2022-03-25,album
AL000708,Rap Nelle Mani Vol. II,2006-07-15,album
AL000709,Pace Armata,2024-03-15,album
AL000710,Bipopular,2022-05-27,single
AL000711,Yang,1998-01-01,album
AL000712,PrettyBoy EP,2023-10-10,album
AL000713,YIN EP,2012-04-06,album
AL000714,KINTSUGI,2025-03-15,single
AL000715,Savant,1993-02-13,album
AL000716,S.U.N.S.H.I.N.E. - EP,2015-07-16,single
AL000717,Musica per bambini,2018-06-01,album
AL000718,XENOVERSO,2022-04-14,album
AL000719,Silenzio,2013-05-07,album
AL000720,La Morte Di RINquore (14/2/08),2016-07-15,single
AL000721,S.M.S. (Sei Molto Stronza),2016-07-15,single
AL000722,Elettrico,2014-03-18,single
AL000723,SeguiMe,2016-06-10,album
AL000724,Acustico,2010-01-01,album
AL000725,SeguiMe/REMIND 2006,2016-06-10,album
AL000726,Exclusives,2020-08-05,single
AL000727,Crack Musica,2016-03-10,album
AL000728,The Dark Album,2016-10-31,album
AL000729,Twins,2017-06-23,album
AL000730,Trap Lovers Reloaded,2019-03-01,album
AL000731,Sick Side,2018-01-05,album
AL000732,Dark Boys Club,2020-09-04,album
AL000733,Succo Di Zenzero,2016-05-19,album
AL000734,Full Metal Dark,2018-01-05,album
AL000735,Scienza Doppia H,1998-01-01,album
AL000736,Anima e ghiaccio,2012-02-01,album
AL000737,Adversus,2018-11-16,album
AL000738,Al Centro Della Scena Vol. 2 - Mixtape,2018-11-16,album
AL000739,Odio pieno,1997-01-01,album
AL000740,Più Forte Delle Bombe - EP,2012-02-01,album
AL000741,Missione Impossibile,2002-01-01,compilation
"AL000742,""Balla Coi Lupi 12"""""",2012-02-01,album"
AL000743,Originali,2021-05-27,single
AL000744,Sotto Effetto Stono,1997-03-10,album
AL000745,Soprattutto Sotto,1994-11-13,single
AL000746,Sotto Lo Stesso Effetto,1999-01-21,album
AL000747,...In Teoria,2016-11-25,compilation
AL000748,Nel Vortice Vol. 3,2019-07-19,album
AL000749,Diamanti e Fango,2019-11-15,album
AL000750,Io Grido,2011-05-03,album
AL000751,Segnali di Fumo,2017-05-03,album
AL000752,Happy EP!,2024-11-13,single
AL000753,MUSICA ETERNA,2024-11-29,album
AL000754,洋楽バイラルヒット 2023,2025-04-10,album
AL000755,VERA BADDIE,2025-04-10,album
AL000756,Lista 47 - EP,2024-05-31,album
AL000757,Mafia Slime 2,2025-01-17,album
AL000758,Trap Fatta Bene,2024-04-19,album
AL000759,Gesù Bambino,2022-10-07,album
AL000760,Genkidama,2017-07-25,album
AL000761,Triste,2019-05-17,album
AL000762,Canzoni Popolari - EP,2020-07-09,single
AL000763,Council Estate Vol.1,2025-04-10,album
"AL000764,""COUNCIL ESTATE, VOL. 2"",2023-05-26,single"
AL000765,IL CANTASTORIE,2023-07-07,single
AL000766,Scusate se esistiamo,2020-04-30,album
AL000767,Fruit Joint + Gusto,2018-07-20,album
AL000768,The Waiter,2017-05-19,album
AL000769,Teoria Del Contrario Mixtape Vol. 3,2025-01-17,single
AL000770,FAIV,2021-07-02,single
AL000771,Teoria Del Contrario Mixtape Vol. 1,2016-10-15,album
AL000772,Teoria Del Contrario Mixtape Vol. 2,2023-03-17,album
AL000773,Ultimo Piano B,2023-12-15,album
AL000774,Fruit Joint,2018-07-20,album
AL000775,PLAYLIST LIVE,2018-11-09,album
AL000776,Hellvisback Platinum,2016-02-05,album
AL000777,Midnite (Deluxe Version),2013-04-02,album
AL000778,The Island Chainsaw Massacre,2011-02-01,album
AL000779,FLOP,2021-10-01,album
AL000780,CVLT – HELLRAISERS,2023-11-03,album
AL000781,Mr. Antipatia,2015-10-30,compilation
AL000782,RANCH,2025-05-09,album
AL000783,S.A.L.M.O. Documentary,2012-06-30,album
AL000784,Death USB,2012-06-30,album
AL000785,Sotto Pelle,2024-01-01,single
AL000786,Salmo Unplugged (Amazon Original),2023-05-29,album
AL000787,The Island Chainsaw Massacre (The Ultimate Reloaded),2014-01-01,album
AL000788,Torno domani - EP,2017-03-21,single
AL000789,Brava,2019-04-19,album
AL000790,Rendez-vous - EP,2020-03-05,single
AL000791,Dentro e fuori,2015-06-02,album
AL000792,Il Mio Diario: Giorno,2006-01-01,album
AL000793,Alibi,2007-06-29,album
AL000794,Il Mio Diario: Notte,2006-01-01,album
AL000795,Il mondo dell’illusione,2025-04-18,single
AL000796,IXC The Lost Album,2021-01-26,single
AL000797,Nel Vortice Vol. 1,2000-01-01,compilation
AL000798,Soulvillians,2024-05-10,single
AL000799,Suicidol - Post Mortem,2015-05-26,album
AL000800,Danger,2013-07-16,album
AL000801,Garbage Evilution,2020-03-06,album
AL000802,No Comment,2018-01-12,album
AL000803,OUTSIDER,2023-10-10,album
AL000804,One Take FM Free Mic - Season 4,2001-03-06,album
AL000805,Milano Angels,2024-09-06,album
AL000806,Routine EP,2020-01-31,album
AL000807,Milano Demons,2022-11-25,album
AL000808,Solo,2018-03-26,album
AL000809,Dolce vita,2021-06-11,album
AL000810,Dark Love - EP,2022-06-24,album
AL000811,Santana Season,2023-06-09,album
AL000812,Tempo Anima,2017-01-27,album
AL000813,La Via Del Guerriero - EP,2025-04-10,album
AL000814,Ogni Giorno Mixtape,2025-02-01,album
AL000815,SNIPES Sessions,1998-05-07,album
AL000816,Mozart Nella Giungla Mixtape,2016-04-27,single
AL000817,La dolce vita,2014-05-30,album
AL000818,Sinatra Mixtape,2007-01-01,album
AL000819,Nato nell’acqua,2012-02-17,album
AL000820,Ancora3cmdiossigeno,2016-02-17,album
AL000821,La farfalla dalle ali bagnate (Atto III),2016-02-17,album
AL000822,Il piccolo principe,2021-06-17,album
AL000823,Neda Si Sveglia a Mezzanotte,2025-04-11,single
AL000824,Cresciuto Tra i Lupi EP,2025-03-28,single
AL000825,Street Poetry Unofficial Album,2023-05-04,album
AL000826,L’angelo da un’ala sola - Atto 2,2023-11-24,single
AL000827,Legend EP,2021-12-21,album
AL000828,McDonald Music,2018-06-02,single
AL000829,Larepubblica EP,2020-11-10,single
AL000830,Solo Un Uomo (Gold Edition),2006-01-01,single
AL000831,Cose Dell’Altro Mondo Mondo Marcio: Special Edition,2004-05-01,album
AL000832,La Freschezza Del Marcio,2016-03-11,album
AL000833,Generazione X,2007-01-01,album
AL000834,UOMO!,2019-03-08,album
AL000835,Fuori di Qua!,2004-11-01,album
AL000836,My Beautiful Bloody Break Up - Full Circle,2021-04-09,album
AL000837,Adderall Pack,2020-05-22,single
AL000838,Nella Bocca Della Tigre,2014-01-01,album
AL000839,Animale In Gabbia,2010-01-29,album
AL000840,In Cosa Credi,2008-07-11,album
AL000841,Magico,2023-10-31,single
AL000842,CREDO,2025-04-25,album
AL000843,Mondoteismo,2024-10-18,single
AL000844,Difesa personale,2012-10-02,album
AL000845,Rap God Mixtape,2013-03-26,album
AL000846,Quattro Conigli Neri,2016-03-11,album
AL000847,Puoi Fare di Meglio!!!,2014-10-28,compilation
AL000848,Maschera a gas - EP,2018-06-22,album
AL000849,Musica da serial killer,2011-01-25,album
AL000850,Il Fumo Uccide,2024-12-13,album
AL000851,Mondo Marcio (Gold Edition),2004-01-01,album
AL000852,Cose Dell’Altro Mondo,2004-05-01,album
AL000853,Animale In Gabbia Sta Arrivando - EP,2004-05-01,album
AL000854,Di Quello Buono,2019-10-25,compilation
AL000855,Loud - EP,2024-12-13,album
AL000856,Solo Bombe,2021-02-07,album
AL000857,Orgoglio Nazionale,2006-01-01,album
AL000858,Uebe,2019-09-13,album
AL000859,#NONFOTTICONFDPMIXTAPE,2016-01-15,album
AL000860,Hanglover,2017-09-15,album
AL000861,Lettera al Successo,2014-06-10,album
AL000862,BoyFred,2015-10-02,album
AL000863,PLC tape 1,2022-04-22,single
AL000864,Non fotti con FDP Vol.2,2019-09-13,album
AL000865,Unico,2021-07-02,album
AL000866,God Save The Royal,2019-09-13,album
AL000867,F.D.P.,2012-10-17,album
AL000868,Sig. Brainwash - L’arte di accontentare Diamond Edition,2013-03-05,album
AL000869,Paranoia Airlines,2019-01-04,single
AL000870,DISUMANO,2021-11-26,album
AL000871,Festival di Sanremo 2025,2025-02-12,single
AL000872,Penisola che non c’è,2013-06-18,album
AL000873,Pop-Hoolista - Cosodipinto Edition,2014-10-14,album
AL000874,Diss-Agio,2012-10-26,album
AL000875,Il mio primo disco da venduto,2013-06-18,album
AL000876,LETHAL ESPRESSO,2024-05-29,single
AL000877,BCPT Mixtape,2017-01-20,album
AL000878,Tutto il Contrario Remixtape,2023-07-06,single
AL000879,Pat-a-Cake,2015-06-18,album
AL000880,Sig. Brainwash - L’arte di accontentare Deluxe Edition,2022-03-18,album
AL000881,Persona,2019-10-31,album
"AL000882,""NOI, LORO, GLI ALTRI (Deluxe)"",2021-11-19,album"
AL000883,Santeria (Voodoo Edition),2016-06-24,album
AL000884,Status (Vendetta Edition),2015-02-10,album
AL000885,È FINITA LA PACE,2024-12-13,album
AL000886,King Del Rap,2011-01-01,album
AL000887,Marracash - 10 Anni Dopo,2018-06-22,album
AL000888,Roccia Music II,2011-10-01,album
AL000889,Fino A Qui Tutto Bene,2010-01-01,album
AL000890,Badabum Cha Cha (The Remixes),2016-07-01,single
AL000891,Senza Un Posto Nel Mondo – Single,2015-02-10,album
